"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1884972334714437911","Thu Jan 30 14:30:00 +0000 2025","0","MENTERI Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia menduga pengelolaan minyak di Indonesia bermasalah sehingga pemerintah terus mengimpor minyak. Bahkan jumlahnya mencapai satu juta barel per hari (bph https://t.co/99UCm82Sed","1884972334714437911","","","in","Jakarta - Indonesia","0","0","0","https://x.com/mediaindonesia/status/1884972334714437911","68930552","mediaindonesia"
"1884959536831689156","Thu Jan 30 13:39:09 +0000 2025","0","Menteri ESDM Bahlil Lahadalia menanggapi kritik tentang rencana memensiunkan PLTU. Apa katanya? https://t.co/AZWwUE1GzZ","1884959536831689156","","","in","Jakarta, Indonesia","1","0","0","https://x.com/detikfinance/status/1884959536831689156","135795460","detikfinance"
"1884958023741034768","Thu Jan 30 13:33:08 +0000 2025","0","Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia menyoroti ketidakjelasan realisasi pendanaan yang dijanjikan negara-negara maju untuk mendukung transisi energi hijau di Indonesia https://t.co/ZxA6UyVab5 #VIRAL","1884958023741034768","","","in","Indonesia","0","0","0","https://x.com/Jurnalpatroli_/status/1884958023741034768","1507307226058223618","Jurnalpatroli_"
"1884957295907352905","Thu Jan 30 13:30:14 +0000 2025","0","Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia menyatakan wacana kampus dapat mengelola tambang dalam revisi Undang-Undang Mineral dan Batu Bara (Minerba) merupakan niat yang baik. Kalau mengikuti pemberitaan saya pikir ini sebuah niat yang baik ujar Bahlil. https://t.co/auYrEkqJSZ","1884957295907352905","https://pbs.twimg.com/media/Gii2op3XoAA0mcO.jpg","","in","Jakarta","0","0","0","https://x.com/Beritasatu/status/1884957295907352905","154102750","Beritasatu"
"1884957092307755061","Thu Jan 30 13:29:26 +0000 2025","101","Menteri ESDM Bahlil Lahadalia merespons penerapan RUU Minerba yang membahas hilirisasi dan pemberian izin pertambangan untuk ormas keagamaan perguruan tinggi dan UMKM. https://t.co/C2Lci7v2z0","1884957092307755061","https://pbs.twimg.com/media/GiipcVQbYAAIeBN.jpg","","in","Jakarta Capital Region","71","23","27","https://x.com/asumsico/status/1884957092307755061","829366551446818816","asumsico"
"1884936073601831029","Thu Jan 30 12:05:55 +0000 2025","0","MENTERI Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia menduga pengelolaan minyak di Indonesia bermasalah sehingga pemerintah terus mengimpor minyak. Bahkan jumlahnya mencapai satu juta barel per hari (bph https://t.co/99UCm83q3L","1884936073601831029","","","in","Jakarta - Indonesia","0","2","0","https://x.com/mediaindonesia/status/1884936073601831029","68930552","mediaindonesia"
"1884935928424341771","Thu Jan 30 12:05:20 +0000 2025","3","Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia menegaskan Indonesia tidak ingin terjebak dengan skenario kesepakatan iklim Perjanjian Paris atau Paris Agreement mengenai transisi energi. https://t.co/z1KY7xbuZP","1884935928424341771","","","in","Jakarta - Indonesia","15","2","1","https://x.com/mediaindonesia/status/1884935928424341771","68930552","mediaindonesia"
"1884934911607689584","Thu Jan 30 12:01:17 +0000 2025","0","MENTERI Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia membantah adanya kelangkaan pasokan LPG 3 kilogram (kg) di Jakarta. https://t.co/N7nifhmyIj","1884934911607689584","","","in","Jakarta - Indonesia","1","0","0","https://x.com/mediaindonesia/status/1884934911607689584","68930552","mediaindonesia"
"1884914136666280343","Thu Jan 30 10:38:44 +0000 2025","0","Bahlil Lahadalia: 54% BBM Indonesia Didatangkan dari Singapura https://t.co/ok59zKSY1Z https://t.co/Vu4hGRPEkl","1884914136666280343","https://pbs.twimg.com/media/GiiPabYa8AA4Acl.jpg","","in","","0","0","0","https://x.com/98liputan/status/1884914136666280343","1876277902817579008","98liputan"
"1884910738680004879","Thu Jan 30 10:25:14 +0000 2025","0","Soal Kampus Dapat Jatah Kelola Tambang Ini Kata Menteri ESDM Menteri ESD Bahlil Lahadalia menyebut RUU Minerba yang memberi kesempatan bagi kampus untuk mengelola tambang sebagai niat yang baik. https://t.co/sFqiS7LjKy https://t.co/nSCcmby9R6","1884910738680004879","https://pbs.twimg.com/media/GiiMU8mXkAAas01.jpg","","in","Solo, Central Java, Indonesia","0","0","0","https://x.com/soloposdotcom/status/1884910738680004879","155169715","soloposdotcom"
